participant_id,video_id,narration,start_timestamp,stop_timestamp,start_frame,stop_frame,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes,objects_uid
P26,P26_01,open cabinet,00:00:41.06,00:00:42.29,2463,2537,open,2,cabinet,8,['cabinet'],[8],"[322951,322952]"
P26,P26_01,close cabinet,00:00:43.92,00:00:45.32,2635,2719,close,3,cabinet,8,['cabinet'],[8],"[322956,322957,322958,323137,323138,323139]"
P26,P26_01,move pan,00:00:45.94,00:00:50.89,2756,3053,move,9,pan,1,['pan'],[1],"[322960,322961,323141,323142,323143,323144,323145,323146,323147,323148,323149,323150,323169,323170,323171,323172,323173,323174,323175]"
P26,P26_01,turn on stove,00:00:49.74,00:00:57.72,2984,3463,turn-on,12,stove,47,['stove'],[47],"[323149,323150,323151,323152,323153,323174,323175,323176,323177,323178,323179,323180,323181,323182,323183,323184,323185,323186,323187,323188,323189]"
P26,P26_01,turn on stove,00:00:57.54,00:01:00.90,3452,3654,turn-on,12,stove,47,['stove'],[47],"[323154,323155,323156,323190,323191,323192,323193,323194,323195]"
P26,P26_01,grab pan,00:01:02.01,00:01:05.06,3720,3903,grab,0,pan,1,['pan'],[1],"[323159,323160,323161,323162,323163,323164,323165,323198,323199,323200,323201]"
P26,P26_01,put down pan,00:01:04.28,00:01:05.48,3856,3928,put-down,1,pan,1,['pan'],[1],"[323164,323165,323200,323201]"
P26,P26_01,turn up stove,00:01:05.79,00:01:11.02,3947,4261,turn-up,71,stove,47,['stove'],[47],"[323167,323168,323203,323204,323205,323206,323207,323208,323209,323210,323211,323212,323213]"
P26,P26_01,move chicken breasts,00:01:14.38,00:01:17.28,4462,4636,move,9,breast:chicken,62,['breast:chicken'],[62],"[322985,322986,322987,322988,322989,322990,323017,323018,323019,323020,323021,323022]"
P26,P26_02,open door,00:00:03.06,00:00:04.40,183,264,open,2,door,8,['door'],[8],"[323730,323731]"
P26,P26_02,pick up salt,00:00:04.40,00:00:09.05,264,543,pick-up,0,salt,31,['salt'],[31],"[323732,323733,323734,324076,324077]"
P26,P26_02,pick up oil,00:00:09.67,00:00:11.98,580,718,pick-up,0,oil,24,['oil'],[24],"[323735,323736,323737,323738,324079,324080,324081,324082]"
P26,P26_02,close door,00:00:12.08,00:00:14.36,724,861,close,3,door,8,['door'],[8],"[323740,323741,323742,323743,324084,324085]"
P26,P26_02,remove plastic,00:00:16.71,00:00:21.08,1002,1264,remove,10,plastic,77,['plastic'],[77],"[323323,323324,323325,323326]"
P26,P26_02,pick up chicken breast,00:00:21.18,00:00:24.79,1270,1487,pick-up,0,breast:chicken,62,['breast:chicken'],[62],"[323327,323328,323329,323330,323331,323332,323333,324124,324125]"
P26,P26_02,put chicken breast in the pan,00:00:26.38,00:00:30.72,1582,1843,put,1,breast:chicken,62,"['breast:chicken', 'pan']","[62, 1]","[323337,323338,323339,323340,323341,323342,323343,323344,323345,324129,324130,324131,324132,324133,324134,324135,324136,324137]"
P26,P26_02,pick up chicken breast,00:00:31.58,00:00:35.53,1894,2131,pick-up,0,breast:chicken,62,['breast:chicken'],[62],"[323348,323349,323350,323351,323352,323353,323354,323355,324140,324141,324142,324143,324144]"
P26,P26_02,put chicken breast in the pan,00:00:35.63,00:00:39.02,2137,2341,put,1,breast:chicken,62,"['breast:chicken', 'pan']","[62, 1]","[323356,323357,323358,323359,323360,323361,323362,323635,323636,323637,324145,324146,324147,324148,324149,324150,324151]"
P26,P26_02,pick up chicken breasts,00:00:40.24,00:00:41.22,2414,2473,pick-up,0,breast:chicken,62,['breast:chicken'],[62],"[323365,323366,323640,323641,323955,323956]"
P26,P26_02,open fridge,00:00:41.65,00:00:42.82,2499,2569,open,2,fridge,10,['fridge'],[10],"[323368,323369,323643,323644,323958,323959]"
P26,P26_02,put chicken breast,00:00:42.84,00:00:46.13,2570,2767,put,1,breast:chicken,62,['breast:chicken'],[62],"[323370,323371,323372,323373,323374,323375,323376,323960,323961,323962,323963,323964,323965,323966]"
P26,P26_02,close fridge,00:00:46.23,00:00:47.97,2773,2878,close,3,fridge,10,['fridge'],[10],"[323377,323378,323379,323967,323968,323969,324277,324278,324279]"
P26,P26_02,open tap,00:00:48.23,00:00:50.22,2893,3013,open,2,tap,3,['tap'],[3],"[323971,323972,324281,324282,324283,324284]"
P26,P26_02,wash hands,00:00:50.56,00:00:54.40,3033,3264,wash,4,hand,12,['hand'],[12],"[324286,324287,324288,324289,324290,324291,324292]"
P26,P26_02,close tap,00:00:53.91,00:00:54.94,3234,3296,close,3,tap,3,['tap'],[3],"[324292,324293]"
P26,P26_02,dry hands,00:00:57.94,00:01:03.02,3476,3781,dry,11,hand,12,['hand'],[12],[]
P26,P26_02,pick up salt,00:01:08.60,00:01:10.55,4116,4233,pick-up,0,salt,31,['salt'],[31],"[324228,324229,324230,324231]"
P26,P26_02,put salt on chicken breasts,00:01:13.83,00:01:19.34,4429,4760,put,1,salt,31,"['salt', 'breast:chicken']","[31, 62]","[323385,323386,323387,323388,323389,323390,323391,323392,323393,323394,323395,323649,323650,323651,323652,323653,323654,323655,323656,323657,323658,323659,324238,324239,324240,324241,324242,324243,324244,324245,324246,324247,324248]"
P26,P26_02,place salt,00:01:19.36,00:01:20.36,4761,4821,place,1,salt,31,['salt'],[31],"[323396,323397,323660,323661,324249,324250]"
P26,P26_02,open door,00:01:26.48,00:01:27.30,5188,5238,open,2,door,8,['door'],[8],"[323704,323752,323753]"
P26,P26_02,pick up dish,00:01:28.95,00:01:31.49,5337,5489,pick-up,0,dish,4,['dish'],[4],"[323708,323709,323710,323711,323712,323757,323758,323759]"
P26,P26_02,close door,00:01:32.40,00:01:33.32,5544,5599,close,3,door,8,['door'],[8],"[323715,323716,323762,323763]"
P26,P26_02,place dish,00:01:34.48,00:01:36.02,5668,5761,place,1,dish,4,['dish'],[4],"[323719,323720,323721,323722,323766,323818,323819,323820,323821]"
P26,P26_02,pick up fork,00:01:36.14,00:01:38.10,5768,5886,pick-up,0,fork,18,['fork'],[18],"[323399,323400,323401,323402,323723,323724,323822,323823,323824,323825]"
P26,P26_02,turn chicken breast,00:01:38.95,00:02:05.90,5937,7554,turn,13,breast:chicken,62,['breast:chicken'],[62],"[323404,323405,323406,323407,323408,323409,323410,323411,323412,323413,323414,323415,323416,323417,323418,323419,323420,323421,323422,323423,323424,323425,323426,323427,323428,323429,323430,323431,323432,323433,323434,323435,323436,323437,323438,323439,323440,323441,323442,323443,323444,323445,323446,323447,323448,323449,323450,323451,323452,323453,323454,323455,323456,323457,323827,323828]"
P26,P26_02,turn chicken breast,00:02:06.00,00:02:30.35,7560,9021,turn,13,breast:chicken,62,['breast:chicken'],[62],"[323458,323459,323460,323461,323462,323463,323464,323465,323466,323467,323468,323469,323470,323471,323472,323473,323474,323475,323476,323477,323478,323479,323480,323481,323482,323483,323484,323485,323486,323487,323488,323489,323490,323491,323492,323493,323494,323495,323496,323497,323498,323499,323500,323501,323502,323503,323504,323505,323506,323829,323830,323831,323832,323833]"
P26,P26_02,put fork,00:02:30.44,00:02:32.53,9026,9151,put,1,fork,18,['fork'],[18],"[323507,323508,323509,323834,323835,323836,323837,323838]"
P26,P26_02,move salt,00:02:34.25,00:02:35.00,9255,9300,move,9,salt,31,['salt'],[31],[324157]
P26,P26_02,pick up plate,00:02:35.41,00:02:36.87,9324,9412,pick-up,0,plate,4,['plate'],[4],"[324159,324160,324161]"
P26,P26_02,put plate,00:02:41.41,00:02:43.23,9684,9793,put,1,plate,4,['plate'],[4],"[324170,324171,324172,324173]"
P26,P26_02,pick up fork,00:02:49.79,00:02:51.05,10187,10263,pick-up,0,fork,18,['fork'],[18],"[323664,323665,323666,323846,323847,323848]"
P26,P26_02,increase cooker,00:02:51.65,00:02:56.76,10299,10605,increase,71,cooker,56,['cooker'],[56],"[323668,323669,323670,323671,323672,323673,323674,323675,323676,323677,323850]"
P26,P26_02,pick up fork,00:03:22.11,00:03:27.24,12126,12434,pick-up,0,fork,18,['fork'],[18],"[323857,323858,323859,323860,323861,323862,323863,323864,323865,323866]"
P26,P26_02,turn chicken breast,00:03:31.25,00:03:39.51,12675,13170,turn,13,breast:chicken,62,['breast:chicken'],[62],"[323515,323516,323517,323518,323519,323520,323521,323522,323523,323524,323525,323526,323527,323528,323529,323530]"
P26,P26_02,turn chicken breast,00:03:41.38,00:03:44.86,13282,13491,turn,13,breast:chicken,62,['breast:chicken'],[62],"[323535,323536,323537,323538,323539,323540,323541]"
P26,P26_02,put down fork,00:03:48.25,00:03:50.35,13695,13821,put-down,1,fork,18,['fork'],[18],"[323875,323876,323877,323878]"
P26,P26_02,open fridge,00:04:04.87,00:04:06.54,14692,14792,open,2,fridge,10,['fridge'],[10],"[323978,323979,323980,323981,324043,324044,324045,324046]"
P26,P26_02,take lemon,00:04:07.18,00:04:07.98,14830,14878,take,0,lemon,129,['lemon'],[129],"[323983,324048]"
P26,P26_02,close fridge,00:04:07.84,00:04:09.04,14870,14942,close,3,fridge,10,['fridge'],[10],"[323984,323985,323986,324004,324005,324006,324049,324050,324051]"
P26,P26_02,take knife,00:04:10.05,00:04:10.76,15003,15045,take,0,knife,5,['knife'],[5],"[324009,324054]"
P26,P26_02,cut lemon,00:04:10.96,00:04:13.56,15057,15213,cut,5,lemon,129,['lemon'],[129],"[324010,324011,324012,324013,324014,324015,324055,324056,324057,324058,324059,324060]"
P26,P26_02,put down knife,00:04:13.57,00:04:14.46,15214,15267,put-down,1,knife,5,['knife'],[5],"[324016,324061]"
P26,P26_02,put down lemon,00:04:15.35,00:04:16.08,15321,15364,put-down,1,lemon,129,['lemon'],[129],"[323989,323990,324019,324064,324065]"
P26,P26_02,open fridge,00:04:17.50,00:04:18.50,15450,15510,open,2,fridge,10,['fridge'],[10],"[323993,323994,324068,324069]"
P26,P26_02,put down lemon,00:04:18.40,00:04:20.26,15503,15615,put-down,1,lemon,129,['lemon'],[129],"[323995,323996,323997,323998,324070,324071,324072,324073]"
P26,P26_02,close fridge,00:04:20.22,00:04:21.38,15613,15682,close,3,fridge,10,['fridge'],[10],"[323999,324000,324074,324075]"
P26,P26_02,take fork,00:04:28.55,00:04:30.30,16113,16218,take,0,fork,18,['fork'],[18],"[323545,323546,323547,323888,323889,323890]"
P26,P26_02,flip chicken breast,00:04:31.35,00:04:33.65,16281,16419,flip,32,breast:chicken,62,['breast:chicken'],[62],"[323550,323551,323552,323553,323554,323893]"
P26,P26_02,flip chicken breast,00:04:33.52,00:04:35.09,16411,16505,flip,32,breast:chicken,62,['breast:chicken'],[62],"[323554,323555,323556,323557]"
P26,P26_02,put down fork,00:04:37.34,00:04:39.93,16640,16795,put-down,1,fork,18,['fork'],[18],"[323898,323899,323900,323901,323902]"
P26,P26_02,pick up fork,00:05:00.55,00:05:01.80,18033,18108,pick-up,0,fork,18,['fork'],[18],"[323563,323564,323912,323913]"
P26,P26_02,turn chicken breast,00:05:02.15,00:05:05.46,18129,18327,turn,13,breast:chicken,62,['breast:chicken'],[62],"[323566,323567,323568,323569,323570,323571,323915]"
P26,P26_02,turn chicken breast,00:05:04.34,00:05:06.46,18260,18387,turn,13,breast:chicken,62,['breast:chicken'],[62],"[323570,323571,323572,323573]"
P26,P26_02,put fork,00:05:10.80,00:05:12.32,18648,18739,put,1,fork,18,['fork'],[18],"[323922,323923,323924]"
P26,P26_02,pick up salt,00:05:20.59,00:05:21.55,19235,19293,pick-up,0,salt,31,['salt'],[31],"[323770,323771,324259,324260]"
P26,P26_02,open door,00:05:21.65,00:05:22.43,19299,19345,open,2,door,8,['door'],[8],"[323772,324261]"
P26,P26_02,put salt,00:05:22.49,00:05:23.51,19349,19410,put,1,salt,31,['salt'],[31],"[323773,323774,324262,324263]"
P26,P26_02,close door,00:05:23.47,00:05:25.42,19408,19525,close,3,door,8,['door'],[8],"[323775,323776,323777,323778,324264,324265,324266]"
P26,P26_02,open door,00:05:42.83,00:05:43.75,20569,20625,open,2,door,8,['door'],[8],"[323230,323231,323788,323789]"
P26,P26_02,pick up bread,00:05:44.47,00:05:46.27,20668,20776,pick-up,0,bread,52,['bread'],[52],"[323233,323234,323235,323236,323791,323792,323793,323794]"
P26,P26_02,close door,00:05:46.21,00:05:47.47,20772,20848,close,3,door,8,['door'],[8],"[323237,323238,323795,323796,324020]"
P26,P26_02,pick up knife,00:05:49.70,00:05:50.98,20982,21058,pick-up,0,knife,5,['knife'],[5],"[323242,323243,324026,324027]"
P26,P26_02,open bread,00:05:51.21,00:05:59.33,21072,21559,open,2,bread,52,['bread'],[52],"[323245,323246,323247,323248,323249,323250,323251,323252,323253,323254,323255,323256,323257,323258,323259,323260,324029,324030]"
P26,P26_02,slice bread,00:05:59.88,00:06:04.89,21592,21893,slice,5,bread,52,['bread'],[52],"[323262,323263,323264,323265,323266,323267,323268,323269,323270,323271]"
P26,P26_02,take bread,00:06:10.17,00:06:10.93,22210,22255,take,0,bread,52,['bread'],[52],[323281]
P26,P26_02,put down bread,00:06:11.80,00:06:12.83,22308,22369,put-down,1,bread,52,['bread'],[52],"[323284,323285]"
P26,P26_02,take bread,00:06:14.46,00:06:16.22,22467,22573,take,0,bread,52,['bread'],[52],"[323217,323218,323219,323220,323289,323290,323291,323292]"
P26,P26_02,put in bag,00:06:16.10,00:06:19.09,22566,22745,put-in,22,bag,20,['bag'],[20],"[323221,323222,323223,323224,323225,323226,323293,323294]"
P26,P26_02,open door,00:06:23.25,00:06:24.86,22995,23091,open,2,door,8,['door'],[8],"[323297,323298,323299,323806,323807,323808]"
P26,P26_02,put down bread,00:06:24.96,00:06:26.66,23097,23199,put-down,1,bread,52,['bread'],[52],"[323300,323301,323302,323303,323809,323810,323811,323812,324031,324032,324033]"
P26,P26_02,close door,00:06:26.76,00:06:27.70,23205,23262,close,3,door,8,['door'],[8],"[323304,323305,323813,323814,324034,324035]"
P26,P26_02,take knife,00:06:28.01,00:06:29.21,23280,23352,take,0,knife,5,['knife'],[5],"[323577,323578,323579,323815,323816,324036,324037,324038]"
P26,P26_02,put down knife,00:06:29.28,00:06:30.24,23356,23414,put-down,1,knife,5,['knife'],[5],"[323580,323581,324039,324040]"
P26,P26_02,flip chicken breast,00:06:30.61,00:06:32.51,23436,23550,flip,32,breast:chicken,62,['breast:chicken'],[62],"[323583,323584,323585,324042]"
P26,P26_02,flip chicken breast,00:06:31.95,00:06:33.78,23517,23626,flip,32,breast:chicken,62,['breast:chicken'],[62],"[323585,323586,323587,323588]"
P26,P26_02,put down fork,00:06:40.11,00:06:43.19,24006,24191,put-down,1,fork,18,['fork'],[18],"[323934,323935,323936,323937,323938,323939]"
P26,P26_02,turn off gas,00:06:55.29,00:06:59.64,24917,25178,turn-off,15,gas,47,['gas'],[47],"[323591,323592,323593,323942,323943,323944,323945,323946,323947,324177]"
P26,P26_02,take fork,00:06:59.88,00:07:01.13,25192,25267,take,0,fork,18,['fork'],[18],"[323306,323307,323308,323594,323595,323596,323948,323949,323950,324178,324179,324180]"
P26,P26_02,take chicken breast,00:07:01.23,00:07:02.99,25273,25379,take,0,breast:chicken,62,['breast:chicken'],[62],"[323309,323310,323311,323597,323598,323599,323951,323952,324181,324182,324183]"
P26,P26_02,put chicken breast onto plate,00:07:02.16,00:07:03.67,25329,25420,put,1,breast:chicken,62,"['breast:chicken', 'plate']","[62, 4]","[323311,323312,323313,323599,323600,323601,324183,324184,324185]"
P26,P26_02,take chicken breast,00:07:04.34,00:07:05.41,25460,25524,take,0,breast:chicken,62,['breast:chicken'],[62],"[323315,323316,323603,323604,324187,324188]"
P26,P26_02,put chicken breast onto plate,00:07:06.01,00:07:07.10,25560,25626,put,1,breast:chicken,62,"['breast:chicken', 'plate']","[62, 4]","[323318,323319,323320,323606,323607,323608,324190,324191,324192]"
P26,P26_02,grab plate,00:07:13.24,00:07:14.77,25994,26086,grab,0,plate,4,['plate'],[4],"[324201,324202,324203]"
P26,P26_02,put plate down,00:07:14.54,00:07:16.46,26072,26187,put,1,plate,4,['plate'],[4],"[323694,324204,324205,324206]"
P26,P26_02,put cutlery down,00:07:18.20,00:07:19.79,26292,26387,put,1,cutlery,75,['cutlery'],[75],"[323611,323612,323613,323699,323700,323701,324089,324090,324091]"
P26,P26_02,grab oil,00:07:19.77,00:07:21.27,26386,26476,grab,0,oil,24,['oil'],[24],"[323614,323615,323616,323702,323703,324092,324093,324094]"
P26,P26_02,season chicken breast with oil,00:07:20.99,00:07:29.08,26459,26944,season-with,84,oil,24,['oil'],"[24, 62, 24]","[323616,323617,323618,323619,323620,323621,323622,323623,323624,323625,323626,323627,323628,323629,323630,323631,323632,324094,324095,324096,324097,324098,324099,324100,324101,324102,324103,324104,324105,324106,324107,324108,324109,324110]"
P26,P26_02,close oil,00:07:29.06,00:07:31.56,26943,27093,close,3,oil,24,['oil'],[24],"[323633,323634,323681,323682,323683,324111,324112,324113,324114,324115]"
P26,P26_02,open cupboard,00:07:32.75,00:07:33.44,27165,27206,open,2,cupboard,8,['cupboard'],[8],"[323686,324118]"
P26,P26_02,put oil down,00:07:33.52,00:07:34.61,27211,27276,put,1,oil,24,['oil'],[24],"[323687,323688,323689,324119,324120,324121,324210,324211,324212]"
P26,P26_02,close cupboard,00:07:34.69,00:07:35.54,27281,27332,close,3,cupboard,8,['cupboard'],[8],"[323690,323691,324122,324123,324213,324214,324267,324268]"
P26,P26_02,grab plate,00:07:35.65,00:07:37.04,27339,27422,grab,0,plate,4,['plate'],[4],"[323692,323693,324215,324216,324217,324269,324270,324271]"
P26,P26_02,put plate on table,00:07:37.14,00:07:38.83,27428,27529,put,1,plate,4,"['plate', 'table']","[4, 53]","[324218,324219,324220,324272,324273,324274]"
P26,P26_03,pick up pan,00:00:00.72,00:00:02.21,43,132,pick-up,0,pan,1,['pan'],[1],"[324709,324710,324711,324886]"
P26,P26_03,put pan on sink,00:00:03.67,00:00:05.25,220,315,put,1,pan,1,"['pan', 'sink']","[1, 33]","[324715,324716,324717,324890,324891,324892]"
P26,P26_03,open water,00:00:04.67,00:00:05.68,280,340,open,2,water,17,['water'],[17],"[324717,324718,324892,324893]"
P26,P26_03,pick up plates,00:00:11.46,00:00:12.49,687,749,pick-up,0,plate,4,['plate'],[4],"[324881,324882]"
P26,P26_03,put plate,00:00:15.00,00:00:16.88,900,1012,put,1,plate,4,['plate'],[4],"[324299,324300,324301,324302,324830,324831,324832,324833]"
P26,P26_03,pick up cutlery,00:00:16.24,00:00:17.58,974,1054,pick-up,0,cutlery,75,['cutlery'],[75],"[324302,324303,324304,324833,324834,324835]"
P26,P26_03,put plate,00:00:17.68,00:00:18.48,1060,1108,put,1,plate,4,['plate'],[4],"[324305,324836]"
P26,P26_03,put cutlery,00:00:19.27,00:00:22.25,1156,1335,put,1,cutlery,75,['cutlery'],[75],"[324308,324309,324310,324311,324312,324313,324839,324840,324841,324842,324843,324844]"
P26,P26_03,put plate,00:00:21.40,00:00:22.90,1284,1374,put,1,plate,4,['plate'],[4],"[324312,324313,324314,324843,324844,324845]"
P26,P26_03,pick up lemon,00:00:25.31,00:00:26.82,1518,1609,pick-up,0,lemon,129,['lemon'],[129],"[324605,324606,324691,324692,324693]"
P26,P26_03,put glass,00:00:28.32,00:00:29.73,1699,1783,put,1,glass,16,['glass'],[16],"[324592,324593,324594,324610,324611,324612,324697,324698,324699]"
P26,P26_03,open fridge,00:00:29.76,00:00:31.00,1785,1860,open,2,fridge,10,['fridge'],[10],"[324595,324596,324613,324614,324700,324701]"
P26,P26_03,put lemon,00:00:30.60,00:00:31.93,1836,1915,put,1,lemon,129,['lemon'],[129],"[324511,324597,324598,324615,324702,324703]"
P26,P26_03,close fridge,00:00:32.03,00:00:33.52,1921,2011,close,3,fridge,10,['fridge'],[10],"[324512,324513,324514,324515,324599,324600,324601,324602,324704,324705,324706]"
P26,P26_03,open door,00:00:33.83,00:00:36.08,2029,2164,open,2,door,8,['door'],[8],"[324348,324349,324350,324516,324517,324518,324519,324520,324603,324604]"
P26,P26_03,pick up detergent,00:00:36.18,00:00:37.40,2170,2244,pick-up,0,detergent,70,['detergent'],[70],"[324351,324352,324521,324522]"
P26,P26_03,close door,00:00:37.50,00:00:39.20,2250,2352,close,3,door,8,['door'],[8],"[324353,324354,324355,324356,324374,324375,324523,324524,324525,324526,324896,324897,324898,324899]"
P26,P26_03,put detergent,00:00:39.30,00:00:40.59,2358,2435,put,1,detergent,70,['detergent'],[70],"[324357,324358,324359,324376,324377,324378,324527,324528,324529,324900,324901,324902]"
P26,P26_03,pick up sponge,00:00:39.66,00:00:40.76,2379,2445,pick-up,0,sponge,21,['sponge'],[21],"[324358,324359,324377,324378,324528,324529,324901,324902]"
P26,P26_03,rinse dish,00:00:40.30,00:00:54.79,2418,3287,rinse,4,dish,4,['dish'],[4],"[324359,324360,324361,324362,324378,324379,324380,324381,324382,324383,324384,324385,324386,324387,324388,324389,324390,324391,324392,324393,324394,324395,324396,324397,324398,324399,324400,324401,324402,324403,324404,324405,324406,324529,324530,324531,324532,324533,324902,324903,324904,324905]"
P26,P26_03,open door,00:00:55.04,00:00:56.44,3302,3386,open,2,door,8,['door'],[8],"[324408,324409,324535,324536]"
P26,P26_03,close door,00:01:02.95,00:01:03.70,3777,3822,close,3,door,8,['door'],[8],"[324545,324546]"
P26,P26_03,place detergent on sponge,00:01:15.62,00:01:17.15,4537,4629,place,1,detergent,70,"['detergent', 'sponge']","[70, 21]","[324368,324369,324370,324412,324413,324414,324910,324911,324912]"
P26,P26_03,pick up dish,00:01:17.48,00:01:19.00,4648,4740,pick-up,0,dish,4,['dish'],[4],"[324371,324372,324373,324415,324416,324417,324913,324914,324915]"
P26,P26_03,soap dish,00:01:20.67,00:01:37.35,4840,5841,lather,4,dish:soap,36,['dish:soap'],[36],"[324422,324423,324424,324425,324426,324427,324428,324429,324430,324431,324432,324433,324434,324435,324436,324437,324438,324439,324440,324441,324442,324443,324444,324445,324446,324447,324448,324449,324450,324451,324452,324453,324454]"
P26,P26_03,rinse dish,00:01:37.27,00:01:49.41,5836,6564,rinse,4,dish,4,['dish'],[4],"[324455,324456,324457,324458,324459,324460,324461,324462,324463,324464,324465,324466,324467,324468,324469,324470,324471,324472,324473,324474,324475,324476,324477,324478,324550,324551,324552,324553]"
P26,P26_03,open door,00:01:49.71,00:01:51.68,6582,6700,open,2,door,8,['door'],[8],"[324480,324481,324482,324483,324555,324556,324557,324558]"
P26,P26_03,place dish,00:01:51.75,00:01:54.06,6705,6843,place,1,dish,4,['dish'],[4],"[324484,324485,324486,324487,324488,324559,324560,324561,324916,324917,324918,324919,324920]"
P26,P26_03,pick up sponge,00:01:54.59,00:01:55.70,6875,6942,pick-up,0,sponge,21,['sponge'],[21],"[324490,324491,324922,324923]"
P26,P26_03,pick up dish,00:01:56.01,00:01:57.13,6960,7027,pick-up,0,dish,4,['dish'],[4],"[324492,324493,324494,324924,324925,324926]"
P26,P26_03,soap dish,00:01:58.12,00:02:04.04,7087,7442,lather,4,dish:soap,36,['dish:soap'],[36],"[324497,324498,324499,324500,324501,324502,324503,324504,324505,324506,324507,324508]"
P26,P26_03,rinse plate,00:02:14.21,00:02:17.52,8052,8251,rinse,4,plate,4,['plate'],[4],"[324854,324855,324856,324857,324858,324859,324860]"
P26,P26_03,move pan,00:02:21.45,00:02:22.64,8487,8558,move,9,pan,1,['pan'],[1],"[324725,324726,324727]"
P26,P26_03,put down plate,00:02:39.33,00:02:42.45,9559,9747,put-down,1,plate,4,['plate'],[4],"[324868,324869,324870,324871,324872,324873]"
P26,P26_03,close door,00:02:42.58,00:02:45.22,9754,9913,close,3,door,8,['door'],[8],"[324730,324731,324732,324875,324876]"
P26,P26_03,pick up pan,00:02:46.29,00:02:47.91,9977,10074,pick-up,0,pan,1,['pan'],[1],"[324735,324736,324737]"
P26,P26_03,pick up sponge,00:02:50.70,00:02:51.65,10242,10299,pick-up,0,sponge,21,['sponge'],[21],"[324743,324744,324932,324933]"
P26,P26_03,lather pan,00:02:52.45,00:02:55.41,10347,10524,lather,4,pan,1,['pan'],[1],"[324746,324747,324748,324749,324750,324751,324935]"
P26,P26_03,rinse pan,00:03:11.93,00:03:14.53,11515,11671,rinse,4,pan,1,['pan'],[1],"[324760,324761,324762,324763,324764,324765]"
P26,P26_03,lather pan,00:03:15.32,00:03:17.11,11719,11826,lather,4,pan,1,['pan'],[1],"[324767,324768,324769,324770]"
P26,P26_03,rinse sponge,00:03:28.04,00:03:29.16,12482,12549,rinse,4,sponge,21,['sponge'],[21],"[324777,324778,324942,324943]"
P26,P26_03,rinse pan,00:03:29.13,00:03:35.43,12547,12925,rinse,4,pan,1,['pan'],[1],"[324779,324780,324781,324782,324783,324784,324785,324786,324787,324788,324789,324790,324944,324945]"
P26,P26_03,lather pan,00:03:37.09,00:03:39.76,13025,13185,lather,4,pan,1,['pan'],[1],"[324795,324796,324797,324798,324799]"
P26,P26_03,rinse pan,00:03:45.41,00:03:48.56,13524,13713,rinse,4,pan,1,['pan'],[1],"[324808,324809,324810,324811,324812,324813,324814]"
